n,t_seconds,alpha,x,y,h,f_norm,step_frames
0,0.000000000,0.000000000,1.000000000,0.000000000,0.652294609,0.652294609,0
11,0.127709751,0.401212014,0.920588337,0.390534395,5.167476969,0.455422305,11
16,0.185759637,0.583581112,0.834494756,0.551015882,13.409043318,5.151078834,5
17,0.197369615,0.620054931,0.813846539,0.581079867,17.075895220,3.666851902,1
19,0.220589569,0.693002570,0.769331294,0.638850030,22.057320263,2.135360081,2
22,0.255419501,0.802424028,0.694965773,0.719042818,26.918369835,2.341894991,3
24,0.278639456,0.875371667,0.640711543,0.767781687,30.267221466,1.063556503,2
27,0.313469388,0.984793126,0.553035485,0.833157699,37.046548661,2.991549547,3
30,0.348299320,1.094214584,0.458744507,0.888568218,40.449760197,0.803247251,3
34,0.394739229,1.240109862,0.324692377,0.945819677,45.086195422,0.737537260,4
37,0.429569161,1.349531320,0.219463965,0.975620607,54.452722985,4.927692775,3
38,0.441179138,1.386005140,0.183741280,0.982974640,55.183679002,0.730956016,1
53,0.615328798,1.933112432,-0.354440922,0.935078410,60.075608827,0.227421955,15
57,0.661768707,2.079007710,-0.486615461,0.873616273,67.791710392,3.727347086,4
58,0.673378685,2.115481529,-0.518148873,0.855290445,71.130868865,3.339158472,1
60,0.696598639,2.188429168,-0.579106955,0.815251577,75.025764635,1.168989448,2
67,0.777868481,2.443745905,-0.766227575,0.642569298,82.115906502,3.654149974,7
68,0.789478458,2.480219724,-0.789149721,0.614200878,88.081750083,5.965843582,1
69,0.801088435,2.516693543,-0.811022146,0.585015452,91.849940767,3.768190683,1
71,0.824308390,2.589641182,-0.851502890,0.524349910,96.747091719,1.912883023,2
74,0.859138322,2.699062641,-0.903671136,0.428227133,100.377146359,0.450988897,3
78,0.905578231,2.844957919,-0.956325581,0.292303579,106.459316383,2.951351922,4
80,0.928798186,2.917905558,-0.975086184,0.221826359,110.178497640,1.401278070,2
93,1.079727891,3.392065211,-0.968795401,-0.247861798,115.218341460,0.314439936,13
98,1.137777778,3.574434308,-0.907777479,-0.419452082,121.915128528,2.359589851,5
101,1.172607710,3.683855766,-0.856542938,-0.516075765,125.086485938,0.895893155,3
105,1.219047619,3.829751044,-0.772416959,-0.635115770,133.104867386,3.134299015,4
106,1.230657596,3.866224864,-0.748743266,-0.662860107,135.755741349,2.650873963,1
109,1.265487528,3.975646322,-0.671878894,-0.740661023,140.907848894,0.998062331,3
113,1.311927438,4.121541600,-0.557064946,-0.830468931,145.616843445,1.032071806,4
116,1.346757370,4.230963059,-0.463043491,-0.886335560,154.621562036,4.967723891,3
117,1.358367347,4.267436878,-0.430414647,-0.902631282,156.704652047,2.083090011,1
126,1.462857143,4.595701253,-0.116423104,-0.993199709,160.007698227,0.607875791,9
135,1.567346939,4.923965628,0.210001651,-0.977701031,165.365628080,3.367365024,9
136,1.578956916,4.960439448,0.245514564,-0.969392902,170.515998410,5.150370330,1
138,1.602176871,5.033387087,0.315513842,-0.948920974,176.761419308,2.773336074,2
140,1.625396825,5.106334726,0.383834902,-0.923401737,180.196116667,1.576202407,2
145,1.683446712,5.288703823,0.544937726,-0.838476520,185.038233381,1.843316106,5
148,1.718276644,5.398125282,0.633243046,-0.773952999,191.550622051,1.956814964,3
151,1.753106576,5.507546740,0.713974073,-0.700172138,195.135115394,1.126167121,3
156,1.811156463,5.689915837,0.829117236,-0.559074780,203.239506950,4.170467788,5
160,1.857596372,5.835811115,0.901586133,-0.432599636,205.148180364,0.181556223,4
175,2.031746032,6.382918407,0.995030775,0.099567847,211.998485505,2.319191602,15
177,2.054965986,6.455866046,0.985127692,0.171823834,216.424331839,2.714238733,2
179,2.078185941,6.528813685,0.969984716,0.243165890,220.082743668,1.136199263,2
184,2.136235828,6.711182783,0.909798721,0.415049741,226.348606483,1.401421334,5
186,2.159455782,6.784130421,0.877129058,0.480254740,231.115860272,2.618054115,2
191,2.217505669,6.966499519,0.775484499,0.631366607,236.177746995,1.243169342,5
194,2.252335601,7.075920977,0.701899392,0.712276100,240.083095941,0.894895778,3
196,2.275555556,7.148868616,0.648119901,0.761538308,247.098675613,3.619164685,2
198,2.298775510,7.221816255,0.590893061,0.806749893,251.166770057,1.895274574,2
205,2.380045351,7.477132991,0.367992078,0.929828925,255.554077417,0.561421710,7
216,2.507755102,7.878345006,-0.024360961,0.999703228,261.261130004,2.033610738,11
218,2.530975057,7.951292645,-0.097157503,0.995269019,265.933485503,2.028236972,2
224,2.600634921,8.170135561,-0.310913415,0.950438240,271.148155358,1.307299661,6
226,2.623854875,8.243083200,-0.379357292,0.925250261,276.570189039,3.415876344,2
227,2.635464853,8.279557020,-0.412844912,0.910801339,281.070592803,4.500403763,1
229,2.658684807,8.352504659,-0.478128848,0.878289704,286.034068238,2.169557345,2
232,2.693514739,8.461926117,-0.571181451,0.820823824,290.101355197,0.481549245,3
236,2.739954649,8.607821395,-0.684443239,0.729066151,295.195234364,2.137834126,4
252,2.925714286,9.191402507,-0.972891322,0.231262785,300.075123965,0.401091490,16
255,2.960544218,9.300823965,-0.992327535,0.123636822,308.241841733,4.648299526,3
256,2.972154195,9.337297784,-0.996176049,0.087368641,311.053621951,2.811780218,1
258,2.995374150,9.410245423,-0.999894405,0.014532026,315.545933569,1.741862286,2
262,3.041814059,9.556140701,-0.991384315,-0.130985263,320.852327955,1.591335952,4
265,3.076643991,9.665562160,-0.971151270,-0.238464275,327.368587416,3.188661974,3
266,3.088253968,9.702035979,-0.961809587,-0.273719417,330.101508762,2.732921346,1
271,3.146303855,9.884405076,-0.896217977,-0.443613952,335.499094271,1.936820712,5
274,3.181133787,9.993826535,-0.842414014,-0.538830798,340.064156813,2.233111364,3
276,3.204353741,10.066774174,-0.800902031,-0.598795404,345.576208780,2.350722202,2
279,3.239183673,10.176195632,-0.730721794,-0.682675369,350.492358251,1.319613972,3
293,3.401723356,10.686829105,-0.303863392,-0.952715613,355.000100619,0.231198114,14
296,3.436553288,10.796250563,-0.198006490,-0.980200709,362.059065343,2.969038318,3
297,3.448163265,10.832724383,-0.162131060,-0.986769233,365.101272474,3.042207132,1
303,3.517823129,11.051567299,0.055963758,-0.998432801,370.360629743,1.109480458,6
307,3.564263039,11.197462577,0.200519625,-0.979689686,376.488845513,2.536687348,4
308,3.575873016,11.233936397,0.236111363,-0.971726003,380.073659589,3.584814076,1
313,3.633922902,11.416305494,0.408428001,-0.912790539,386.057836336,1.195856859,5
315,3.657142857,11.489253133,0.473868662,-0.880595532,392.905042446,4.023487951,2
321,3.726802721,11.708096050,0.653744105,-0.756715697,395.113208443,0.347367231,6
333,3.866122449,12.145781884,0.912848721,-0.408297946,400.844630832,1.884931107,12
335,3.889342404,12.218729523,0.940178963,-0.340680962,407.764462019,3.039490678,2
336,3.900952381,12.255203342,0.951976835,-0.306170061,410.530680494,2.766218475,1
339,3.935782313,12.364624800,0.979718245,-0.200380041,415.173934904,1.285563268,3
342,3.970612245,12.474046259,0.995741133,-0.092193253,420.188667128,1.084116658,3
345,4.005442177,12.583467717,0.999853848,0.017096270,426.825674817,2.973167151,3
348,4.040272109,12.692889176,0.992007197,0.126181302,430.395699252,0.900492556,3
353,4.098321995,12.875258273,0.952672310,0.303999128,435.294746217,1.022991101,5
355,4.121541950,12.948205912,0.927982323,0.372624220,443.937790245,4.882305058,2
357,4.144761905,13.021153551,0.898356398,0.439267324,445.248277076,0.470494473,2
373,4.330521542,13.604734662,0.507630431,0.861574922,450.156604700,0.620696985,16
375,4.353741497,13.677682301,0.443486258,0.896281172,456.140109462,3.450906926,2
377,4.376961451,13.750629940,0.376983183,0.926220103,462.009523237,2.592152314,2
383,4.446621315,13.969472857,0.166909226,0.985972267,465.342018980,0.659925222,6
385,4.469841270,14.042420496,0.094604754,0.995514912,470.260827358,3.816668629,2
